Date,Open,High,Low,Close,Adj Close,Volume
2000-12-14,850.000000,925.000000,850.000000,925.000000,808.018921,10787500
2000-12-15,900.000000,900.000000,875.000000,900.000000,786.180664,5133500
2000-12-18,900.000000,900.000000,875.000000,875.000000,764.342224,1380500
2000-12-19,875.000000,925.000000,875.000000,925.000000,808.018921,3811500
2000-12-20,900.000000,900.000000,875.000000,875.000000,764.342224,3549000
2000-12-21,875.000000,875.000000,850.000000,875.000000,764.342224,794000
2000-12-22,875.000000,875.000000,825.000000,825.000000,720.665710,3706500
2000-12-25,825.000000,825.000000,825.000000,825.000000,720.665710,0
2000-12-26,825.000000,825.000000,825.000000,825.000000,720.665710,0
2000-12-27,825.000000,825.000000,825.000000,825.000000,720.665710,0
2000-12-28,825.000000,825.000000,825.000000,825.000000,720.665710,0
2000-12-29,825.000000,825.000000,825.000000,825.000000,720.665710,0
2001-01-01,825.000000,825.000000,825.000000,825.000000,720.665710,0
2001-01-02,825.000000,850.000000,825.000000,825.000000,720.665710,2166000
2001-01-03,825.000000,825.000000,775.000000,775.000000,676.988892,4189000
2001-01-04,800.000000,825.000000,800.000000,825.000000,720.665710,6822500
2001-01-05,825.000000,925.000000,825.000000,925.000000,808.018921,33551500
2001-01-08,875.000000,900.000000,875.000000,900.000000,786.180664,9599500
2001-01-09,900.000000,925.000000,900.000000,925.000000,808.018921,22276000
2001-01-10,925.000000,925.000000,875.000000,875.000000,764.342224,5837000
2001-01-11,875.000000,875.000000,825.000000,850.000000,742.503906,9340000
2001-01-12,850.000000,850.000000,825.000000,825.000000,720.665710,7366500
2001-01-15,850.000000,875.000000,825.000000,850.000000,742.503906,10601500
2001-01-16,850.000000,875.000000,825.000000,825.000000,720.665710,2477500
2001-01-17,875.000000,900.000000,850.000000,850.000000,742.503906,11380500
2001-01-18,825.000000,850.000000,825.000000,825.000000,720.665710,17470500
2001-01-19,825.000000,825.000000,775.000000,775.000000,676.988892,16159500
2001-01-22,800.000000,825.000000,750.000000,775.000000,676.988892,18036500
2001-01-23,775.000000,775.000000,725.000000,725.000000,633.312256,17512000
2001-01-24,725.000000,750.000000,725.000000,750.000000,655.150513,4976000
2001-01-25,750.000000,750.000000,750.000000,750.000000,655.150513,3371500
2001-01-26,750.000000,775.000000,725.000000,750.000000,655.150513,3387500
2001-01-29,750.000000,775.000000,725.000000,750.000000,655.150513,4168000
2001-01-30,750.000000,800.000000,750.000000,750.000000,655.150513,12247000
2001-01-31,750.000000,800.000000,750.000000,775.000000,676.988892,9619000
2001-02-01,775.000000,775.000000,750.000000,750.000000,655.150513,4774500
2001-02-02,775.000000,775.000000,650.000000,700.000000,611.473816,49446500
2001-02-05,675.000000,675.000000,575.000000,600.000000,524.120422,30883500
2001-02-06,600.000000,600.000000,500.000000,500.000000,436.767029,110293000
2001-02-07,525.000000,525.000000,475.000000,525.000000,458.605438,72776500
2001-02-08,500.000000,500.000000,400.000000,450.000000,393.090332,110127000
2001-02-09,450.000000,495.000000,440.000000,490.000000,428.031677,91797000
2001-02-12,500.000000,500.000000,465.000000,470.000000,410.560974,38901500
2001-02-13,470.000000,485.000000,470.000000,475.000000,414.928711,31462000
2001-02-14,475.000000,475.000000,465.000000,475.000000,414.928711,20507500
2001-02-15,470.000000,480.000000,470.000000,475.000000,414.928711,24032500
2001-02-16,475.000000,480.000000,470.000000,470.000000,410.560974,12830500
2001-02-19,470.000000,475.000000,465.000000,470.000000,410.560974,13628500
2001-02-20,470.000000,470.000000,455.000000,455.000000,397.458008,18292000
2001-02-21,455.000000,460.000000,450.000000,460.000000,401.825684,17188500
2001-02-22,455.000000,460.000000,450.000000,455.000000,397.458008,5411000
2001-02-23,455.000000,465.000000,450.000000,450.000000,393.090332,31919500
2001-02-26,455.000000,455.000000,450.000000,455.000000,397.458008,5643000
2001-02-27,460.000000,460.000000,455.000000,455.000000,397.458008,4176000
2001-02-28,455.000000,455.000000,445.000000,455.000000,397.458008,15351500
2001-03-01,450.000000,450.000000,445.000000,445.000000,388.722687,3505500
2001-03-02,450.000000,455.000000,445.000000,450.000000,393.090332,6560000
2001-03-05,450.000000,450.000000,450.000000,450.000000,393.090332,0
2001-03-06,465.000000,485.000000,465.000000,485.000000,423.664032,60179500
2001-03-07,485.000000,490.000000,465.000000,465.000000,406.193329,28994500
2001-03-08,460.000000,470.000000,455.000000,455.000000,397.458008,5021000
2001-03-09,455.000000,470.000000,425.000000,430.000000,375.619629,51004500
